Session ID,Subject,Question,Student Answer,Correct,Response Time(s),Initial Option,Final Option,Option Changes,Navigation Frequency,Interaction Timestamp,Engagement Score,Engagement Level,Confidence,Frustration,Interest,Accuracy,Learning Progress,Knowledge Gaps,Hints Requested,Inactivity(s),Completion Rate
b4db32a2-9041-4344-a0c4-2a03882e82c8,English,Identify the correct use of its/it's,B,Yes,6.0,B,B,0,0,2026-01-06T06:41:33.313Z,0.8532300087,high,0.7333333333333333,0.0,0.66,1.0,1.0,,0,0.028559,0.1
b4db32a2-9041-4344-a0c4-2a03882e82c8,English,"What tense is ""The students have completed their assignment""?",C,No,8.0,C,C,0,0,2026-01-06T06:41:44.703Z,0.6602380993000001,medium,0.7333333333333333,0.0,0.6566666666666667,0.5,0.5,Grammar,0,0.017001,0.2
3fd4ca19-621c-4036-b433-4858dfd7f01a,English,Identify the correct use of its/it's,B,Yes,3.0,B,B,0,0,2026-01-06T07:03:58.479Z,0.8007289727000001,high,0.6133333333333333,0.0,0.6799999999999999,1.0,1.0,,0,0.030039,0.1
3fd4ca19-621c-4036-b433-4858dfd7f01a,English,"What tense is ""The students have completed their assignment""?",B,Yes,6.0,B,B,0,0,2026-01-06T07:05:30.920Z,0.8602275965,high,0.8666666666666667,0.0,0.96,1.0,1.0,,0,0.032005,0.2
3fd4ca19-621c-4036-b433-4858dfd7f01a,English,"Which word best describes ""ambiguous""?",B,Yes,8.0,B,B,0,0,2026-01-06T07:05:40.791Z,0.8672324783,high,1.0,0.0,0.9622222222222222,1.0,1.0,,0,0.025031,0.3
3fd4ca19-621c-4036-b433-4858dfd7f01a,English,"What is an antonym for ""bright""?",C,Yes,54.0,C,C,0,0,2026-01-06T07:06:47.059Z,0.8304898017000001,high,0.88,0.24,0.8816666666666666,1.0,1.0,,0,0.014569,0.4
a3e16255-7e4e-46ca-ba3a-8637e2e55414,English,Identify the correct use of its/it's,B,Yes,1455.0,B,B,0,1,2026-01-06T07:32:22.576Z,0.8094907040000001,high,0.6133333333333333,0.3,0.3,1.0,1.0,,0,0.01328,0.1
a3e16255-7e4e-46ca-ba3a-8637e2e55414,English,"What tense is ""The students have completed their assignment""?",A,No,5.0,A,A,0,2,2026-01-06T07:32:40.216Z,0.6602306779,medium,0.6133333333333333,0.0,0.3,0.5,0.5,Grammar,0,0.027603,0.2
2af83075-f7e2-4a47-ac52-63b6caa93f3c,English,Identify the correct use of its/it's,B,Yes,4.0,B,B,0,0,2026-01-06T07:43:23.113Z,0.8007282559000001,high,0.6133333333333333,0.0,0.6733333333333333,1.0,1.0,,0,0.031063,0.1
2af83075-f7e2-4a47-ac52-63b6caa93f3c,English,"What tense is ""The students have completed their assignment""?",C,No,4.0,C,C,0,1,2026-01-06T07:43:42.334Z,0.6077433997,medium,0.6133333333333333,0.0,0.6733333333333333,0.5,0.5,Grammar,0,0.009429,0.2
53e9c625-5573-4d67-ba7b-1a259d0a35a3,English,Identify the correct use of its/it's,B,Yes,3.0,B,B,0,4,2026-01-06T07:50:20.451Z,0.8007289034,high,0.6133333333333333,0.0,0.6799999999999999,1.0,1.0,,0,0.030138,0.1
53e9c625-5573-4d67-ba7b-1a259d0a35a3,English,"What tense is ""The students have completed their assignment""?",D,No,4.0,D,D,0,4,2026-01-06T07:50:25.175Z,0.6077301396,medium,0.6133333333333333,0.0,0.6766666666666667,0.5,0.5,Grammar,0,0.028372,0.2
53e9c625-5573-4d67-ba7b-1a259d0a35a3,English,"Which word best describes ""ambiguous""?",A,No,6.0,A,A,0,4,2026-01-06T07:50:31.915Z,0.6005657752333333,medium,0.7333333333333333,0.26666666666666666,0.7044444444444444,0.3333333333333333,0.3333333333333333,"Grammar, Vocabulary",0,0.025083,0.3
53e9c625-5573-4d67-ba7b-1a259d0a35a3,English,"What is an antonym for ""bright""?",C,Yes,3.0,C,C,0,6,2026-01-06T07:50:47.349Z,0.6217393439000001,medium,0.6133333333333333,0.26666666666666666,0.6733333333333333,0.5,0.5,"Grammar, Vocabulary",0,0.015223,0.4
