Session ID,Subject,Question,Student Answer,Correct,Response Time(s),Initial Option,Final Option,Option Changes,Navigation Frequency,Interaction Timestamp,Engagement Score,Engagement Level,Confidence,Frustration,Interest,Accuracy,Learning Progress,Knowledge Gaps,Hints Requested,Inactivity(s),Completion Rate
634fac76-5478-488d-b4a6-e6c2093546bb,English,Identify the correct use of its/it's,B,Yes,14.0,A,B,1,0,2026-01-06T16:35:57.530Z,0.8532047044000001,high,0.6733333333333333,0.0,0.6066666666666667,1.0,1.0,,0,0.064708,0.1
634fac76-5478-488d-b4a6-e6c2093546bb,English,"What tense is ""The students have completed their assignment""?",B,Yes,10.0,D,B,2,0,2026-01-06T16:36:09.278Z,0.8602339252000001,high,0.7466666666666666,0.0,0.92,1.0,1.0,,0,0.022964,0.2
634fac76-5478-488d-b4a6-e6c2093546bb,English,"Which word best describes ""ambiguous""?",B,Yes,7.0,B,B,0,0,2026-01-06T16:36:47.165Z,0.8672254503000001,high,1.0,0.0,0.9311111111111111,1.0,1.0,,0,0.035071,0.3
634fac76-5478-488d-b4a6-e6c2093546bb,English,"What is an antonym for ""bright""?",C,Yes,6.0,C,C,0,0,2026-01-06T16:36:55.467Z,0.8742207001,high,1.0,0.0,0.9383333333333334,1.0,1.0,,0,0.041857,0.4
634fac76-5478-488d-b4a6-e6c2093546bb,English,"Based on: ""The old library was closed for renovations, and the community had to use the temporary lo",B,Yes,3.0,B,B,0,0,2026-01-06T16:37:02.840Z,0.8287213721,high,0.88,0.0,0.9466666666666667,1.0,1.0,,0,0.040897,0.5
634fac76-5478-488d-b4a6-e6c2093546bb,English,Which sentence is grammatically correct?,B,Yes,18.0,B,B,0,0,2026-01-06T16:37:33.502Z,0.8882201863000001,high,1.0,0.0,0.9355555555555556,1.0,1.0,,0,0.042591,0.6
634fac76-5478-488d-b4a6-e6c2093546bb,English,Choose the correct sentence:,C,Yes,132.0,C,C,0,0,2026-01-06T16:39:58.584Z,0.8514343281000001,high,0.88,0.3,0.819047619047619,1.0,1.0,,0,0.093817,0.7
634fac76-5478-488d-b4a6-e6c2093546bb,English,"What does ""melancholy"" mean?",C,Yes,6.0,C,C,0,0,2026-01-06T16:40:17.725Z,0.9022205328,high,1.0,0.0,0.8366666666666667,1.0,1.0,,0,0.042096,0.8
634fac76-5478-488d-b4a6-e6c2093546bb,English,"Which is the correct plural of ""child""?",C,Yes,71.0,C,C,0,0,2026-01-06T16:41:41.549Z,0.8654705531000001,high,0.88,0.3,0.8022222222222222,1.0,1.0,,0,0.042067,0.9
634fac76-5478-488d-b4a6-e6c2093546bb,English,"Choose the correct pronoun: ""My friend and ____ went to the movies.""",B,Yes,4.0,B,B,0,0,2026-01-06T16:41:47.083Z,0.8637023237000001,high,0.88,0.0,0.8193333333333334,1.0,1.0,,0,0.068109,1.0
44661c3f-9d44-45a0-8d8c-fb56e930f8de,Mathematics,Expand: (x + 2)(x + 3),D,No,15.0,B,D,1,0,2026-01-06T16:42:39.475Z,0.45322903569999995,medium,0.54,0.0,0.6000000000000001,0.0,0.0,Algebra,0,0.029949,0.1
44661c3f-9d44-45a0-8d8c-fb56e930f8de,Mathematics,Solve: 3x - 5 = 10,D,No,8.0,D,D,0,0,2026-01-06T16:42:48.631Z,0.4602122329,medium,0.6,0.26666666666666666,0.9233333333333333,0.0,0.0,Algebra,0,0.053953,0.2
44661c3f-9d44-45a0-8d8c-fb56e930f8de,Mathematics,What is the slope of the line y = 2x + 3?,D,No,5.0,D,D,0,0,2026-01-06T16:43:12.784Z,0.4672208121,medium,0.48,0.4,0.9377777777777778,0.0,0.0,Algebra,0,0.041697,0.3
44661c3f-9d44-45a0-8d8c-fb56e930f8de,Mathematics,"In a right triangle, if one leg is 3 and the hypotenuse is 5, what is the other leg?",A,No,6.0,A,A,0,0,2026-01-06T16:43:30.995Z,0.47421751300000003,medium,0.6,0.4,0.9433333333333334,0.0,0.0,"Algebra, Geometry",0,0.04641,0.4
44661c3f-9d44-45a0-8d8c-fb56e930f8de,Mathematics,What is the area of a triangle with base 10 and height 6?,D,No,3.0,D,D,0,0,2026-01-06T16:43:35.446Z,0.4287201464,medium,0.48,0.4,0.9506666666666667,0.0,0.0,"Algebra, Geometry",0,0.042648,0.5
44661c3f-9d44-45a0-8d8c-fb56e930f8de,Mathematics,What is 2 + 2?,D,No,22.0,D,D,0,0,2026-01-06T16:44:11.786Z,0.48821556909999997,medium,0.6,0.4,0.9344444444444444,0.0,0.0,"Algebra, Geometry",0,0.049187,0.6
44661c3f-9d44-45a0-8d8c-fb56e930f8de,Mathematics,Solve for x: x + 3 = 7,D,No,4.0,D,D,0,0,2026-01-06T16:44:17.345Z,0.4427007557,medium,0.48,0.4,0.94,0.0,0.0,"Algebra, Geometry",0,0.070349,0.7
44661c3f-9d44-45a0-8d8c-fb56e930f8de,Mathematics,What is 5 × 3?,A,No,3.0,A,A,0,0,2026-01-06T16:44:28.076Z,0.4497135496,medium,0.48,0.4,0.9450000000000001,0.0,0.0,"Algebra, Geometry",0,0.052072,0.8
44661c3f-9d44-45a0-8d8c-fb56e930f8de,Mathematics,What is 12 ÷ 4?,D,No,10.0,D,D,0,0,2026-01-06T16:44:40.151Z,0.5092141845,medium,0.6,0.4,0.9437037037037037,0.0,0.0,"Algebra, Geometry",0,0.051165,0.9
44661c3f-9d44-45a0-8d8c-fb56e930f8de,Mathematics,What is the area of a rectangle with length 5 and width 3?,C,No,5.0,C,C,0,0,2026-01-06T16:45:25.876Z,0.5161740444,medium,0.48,0.4,0.946,0.0,0.0,"Algebra, Geometry",0,0.108508,1.0
